Prozess,Anforderungs-nummer,Bereits implementiert,Umsetzungskonzept,Abstimmung 14.04.2026,Anforderungstext,Funktionalität von Asneinl4Win,Besprechungsnotizen,Entscheidung,Schätzung in PT min ,Schätzung in PT max,Schätzung in PT min ,Schätzung in PT max,bereits gemacht ,Confidence Schulnote,,
G-SYS-AL,A-SYS-AL-03,X,,X,"A-SYS-AL-03: Die technologische Basis für die Datenhaltung im Asylverwaltungsprogramm soll schnelle Filter-, Auswahl- und Auswertungs-Operationen ermöglichen.",teilweise,BI oder Power BI (Business Intelligence -Softwarelösung für Datenbankanalyse),bereits entschieden,0,0,0,0,,,,
G-SYS-AL,A-SYS-AL-04,X,,X,"A-SYS-AL-04: Es muss jederzeit sichergestellt sein, dass mehrere Nutzer:innen gleichzeitig auf den gleichen Eintrag zugreifen können. Dabei dürfen keine Eingaben verloren gehen (kein Lost-Update).",x,,,2,3,2,3,,3,,
G-SYS-AL,A-SYS-AL-05,X,,X,A-SYS-AL-05: Das Asylverwaltungsprogramm muss entweder Citrix-zertifiziert oder web-basiert sein.,nein,,,0,0,0,0,,,,
G-SYS-AL,A-SYS-AL-06,,,X,"A-SYS-AL-06: Die Asylverwaltungsprogramm muss so gestaltet sein, dass auch nachträglich noch weitere Module integriert werden können und mit den vorhandenen Modulen kompatibel sind.",x,,,0,0,0,0,,,,
G-SYS-NF,A-SYS-NF-02,X,,X,"A-SYS-NF-02: Die Nutzer-Oberfläche soll sich der Größe des Fensters, in dem sie angezeigt wird, anpassen. Bedienelemente, die viel Text enthalten, sollen durch den/die Nutzer:in bei Bedarf in der Größe anpassbar sein.",teilweise,,machbar (Browserfenster mit React),0,0,0,0,,,,
G-SYS-NF,A-SYS-NF-03,X,,X,"A-SYS-NF-03: Es soll möglich sein, mehrere Module des Asylverwaltungsprogramms in verschiedenen Fenstern gleichzeitig nutzen zu können.",nein,,,0,0,0,0,,,,
G-SYS-NF,A-SYS-NF-04,X,,X,"A-SYS-NF-04: Wird aus einem Bewohner:innen-Eintrag heraus eine Detail-Ansicht geöffnet, etwa ein Anhang in einer Patientenakte, soll das Asylverwaltungsprogramm den Bewohner:innen-Eintrag im Hintergrund geöffnet halten.",x,,,0,0,0,0,,,,
G-SYS-HT,A-SYS-HT-01,,X,X,A-SYS-HT-01: Zu jedem Eintrag im Asylverwaltungsprogramm sollen alle Änderungen und Ergänzungen vollständig nachvollziehbar sein. Informationen zu einer Bewohner:in sollen nicht endgültig gelöscht oder überschrieben werden und von Nutzer:innen mit entsprechenden Berechtigungen immer noch einsehbar sein.,teilweise,Sehr schwer zu definieren was Asyl4win NICHT loggt ,Auditierung und Historisierungsversion die Eingebaut wird. Damit lässt sich das nachvollziehen. ,6,10,6,10,,4,,
G-SYS-RR,A-SYS-RR-01,,X,X,"A-SYS-RR-01: Das Asylverwaltungsprogramm muss über ein Rollen- und Rechtemodell verfügen, durch das sich der Zugriff der Nutzer:innen auf Module, Daten und Funktionen innerhalb des Systems steuern lässt.",x,,,5,7,5,7,,6,,
G-SYS-RR,A-SYS-RR-02,,X,X,"A-SYS-RR-02: Im Asylverwaltungsprogramm muss der Zugriff auf die Bewohner:innen-Daten weiterhin durch die Zugehörigkeit zu einer bestimmten AfA, der ADD, der ZRF oder dem MFFKI regelbar sein.",x,,,12,18,12,18,,3,,
G-SYS-RR,A-SYS-RR-03,,X,X,"A-SYS-RR-03: Im Asylverwaltungsprogramm muss es möglich sein, die Nutzer:innen je nach Modul unterschiedlich zu verrechten.",x,,,5,8,5,8,,2,,
G-SYS-RR,A-SYS-RR-05,,X,X,"A-SYS-RR-05: Die Daten, auf die ein:e Nutzer:in Zugriff hat, sollen nur von den Rechten der/des Nutzer:in abhängen und insbesondere nicht, von dem Modul des Asylverwaltungsprogramms, in dem sich der/die Nutzer:in gerade bewegt.",x,,,1,2,1,2,,,,
G-SYS-BÜ,A-SYS-BÜ-01,Teilweise,X,X,A-SYS-BÜ-01: Das Asylverwaltungsprogramm muss tabellarische Übersichten über die im System erfassten Bewohner:innen-Einträge darstellen können.,x,,,1,2,1,2,,2,,
G-SYS-BÜ,A-SYS-BÜ-02,,,"X
Es werden die Spalten wie in Asyl4Win abgebildet. 
ADD stellt eine Übersicht der benötigten Spalten bereit.",A-SYS-BÜ-02: Die tabellarischen Übersichten sollen alle strukturiert erfasste Daten (in Unterscheidung von der Freitext-Dokumentation - vgl. Abschnitt 4.1.8) als Spalten enthalten können.,x,,,8,10,8,10,,2,,
